prompt	n_tokens	run_id	total_time	time_per_token	device	model_id	constrained_time	unconstrained_time
Generate a valid JSON object that contains a list of all even numbers up to <MAX_NEW_TOKENS>.	1	1	0.005	0.005	cpu	/dlabdata1/llama2_hf/Llama-2-7b-hf	0.87	0.95
Generate a valid JSON object that contains a list of all even numbers up to <MAX_NEW_TOKENS>.	1	2	0.005	0.005	cpu	/dlabdata1/llama2_hf/Llama-2-7b-hf	0.82	0.91
Generate a valid JSON object that contains a list of all even numbers up to <MAX_NEW_TOKENS>.	1	3	0.005	0.005	cpu	/dlabdata1/llama2_hf/Llama-2-7b-hf	1.07	1.43
Generate a valid JSON object that contains a list of all even numbers up to <MAX_NEW_TOKENS>.	1	4	0.005	0.005	cpu	/dlabdata1/llama2_hf/Llama-2-7b-hf	0.82	0.78
Generate a valid JSON object that contains a list of all even numbers up to <MAX_NEW_TOKENS>.	1	5	0.005	0.005	cpu	/dlabdata1/llama2_hf/Llama-2-7b-hf	0.80	0.89
Generate a valid JSON object that contains a list of all keys from key1 to key<MAX_NEW_TOKENS>.	1	1	0.005	0.005	cpu	/dlabdata1/llama2_hf/Llama-2-7b-hf	0.98	1.16
Generate a valid JSON object that contains a list of all keys from key1 to key<MAX_NEW_TOKENS>.	1	2	0.007	0.007	cpu	/dlabdata1/llama2_hf/Llama-2-7b-hf	1.02	0.79
Generate a valid JSON object that contains a list of all keys from key1 to key<MAX_NEW_TOKENS>.	1	3	0.005	0.005	cpu	/dlabdata1/llama2_hf/Llama-2-7b-hf	0.80	0.81
Generate a valid JSON object that contains a list of all keys from key1 to key<MAX_NEW_TOKENS>.	1	4	0.005	0.005	cpu	/dlabdata1/llama2_hf/Llama-2-7b-hf	0.88	1.09
Generate a valid JSON object that contains a list of all keys from key1 to key<MAX_NEW_TOKENS>.	1	5	0.008	0.008	cpu	/dlabdata1/llama2_hf/Llama-2-7b-hf	0.87	0.88
Generate a valid JSON object that contains all key value pairs from (key1, value1) to (key<MAX_NEW_TOKENS>, value<MAX_NEW_TOKENS>) .	1	1	0.005	0.005	cpu	/dlabdata1/llama2_hf/Llama-2-7b-hf	1.02	1.27
Generate a valid JSON object that contains all key value pairs from (key1, value1) to (key<MAX_NEW_TOKENS>, value<MAX_NEW_TOKENS>) .	1	2	0.008	0.008	cpu	/dlabdata1/llama2_hf/Llama-2-7b-hf	1.22	1.10
Generate a valid JSON object that contains all key value pairs from (key1, value1) to (key<MAX_NEW_TOKENS>, value<MAX_NEW_TOKENS>) .	1	3	0.008	0.008	cpu	/dlabdata1/llama2_hf/Llama-2-7b-hf	1.55	1.09
Generate a valid JSON object that contains all key value pairs from (key1, value1) to (key<MAX_NEW_TOKENS>, value<MAX_NEW_TOKENS>) .	1	4	0.006	0.006	cpu	/dlabdata1/llama2_hf/Llama-2-7b-hf	1.00	0.92
Generate a valid JSON object that contains all key value pairs from (key1, value1) to (key<MAX_NEW_TOKENS>, value<MAX_NEW_TOKENS>) .	1	5	0.007	0.007	cpu	/dlabdata1/llama2_hf/Llama-2-7b-hf	0.98	0.91
This is a valid json string for a detailed http request:	1	1	0.005	0.005	cpu	/dlabdata1/llama2_hf/Llama-2-7b-hf	0.75	0.75
This is a valid json string for a detailed http request:	1	2	0.005	0.005	cpu	/dlabdata1/llama2_hf/Llama-2-7b-hf	0.75	0.69
This is a valid json string for a detailed http request:	1	3	0.005	0.005	cpu	/dlabdata1/llama2_hf/Llama-2-7b-hf	1.03	1.02
This is a valid json string for a detailed http request:	1	4	0.006	0.006	cpu	/dlabdata1/llama2_hf/Llama-2-7b-hf	1.66	208.59
This is a valid json string for a detailed http request:	1	5	0.005	0.005	cpu	/dlabdata1/llama2_hf/Llama-2-7b-hf	0.82	0.89
Generate a valid JSON object that contains a list of all even numbers up to <MAX_NEW_TOKENS>.	2	1	0.018	0.009	cpu	/dlabdata1/llama2_hf/Llama-2-7b-hf	1.80	1.90
Generate a valid JSON object that contains a list of all even numbers up to <MAX_NEW_TOKENS>.	2	2	0.015	0.008	cpu	/dlabdata1/llama2_hf/Llama-2-7b-hf	1.40	1.40
Generate a valid JSON object that contains a list of all even numbers up to <MAX_NEW_TOKENS>.	2	3	0.025	0.013	cpu	/dlabdata1/llama2_hf/Llama-2-7b-hf	1.64	1.84
Generate a valid JSON object that contains a list of all even numbers up to <MAX_NEW_TOKENS>.	2	4	0.015	0.008	cpu	/dlabdata1/llama2_hf/Llama-2-7b-hf	1.84	1.43
Generate a valid JSON object that contains a list of all even numbers up to <MAX_NEW_TOKENS>.	2	5	0.025	0.013	cpu	/dlabdata1/llama2_hf/Llama-2-7b-hf	1.43	1.82
Generate a valid JSON object that contains a list of all keys from key1 to key<MAX_NEW_TOKENS>.	2	1	0.019	0.010	cpu	/dlabdata1/llama2_hf/Llama-2-7b-hf	2.19	2.53
Generate a valid JSON object that contains a list of all keys from key1 to key<MAX_NEW_TOKENS>.	2	2	0.019	0.009	cpu	/dlabdata1/llama2_hf/Llama-2-7b-hf	1.49	1.35
Generate a valid JSON object that contains a list of all keys from key1 to key<MAX_NEW_TOKENS>.	2	3	0.015	0.007	cpu	/dlabdata1/llama2_hf/Llama-2-7b-hf	1.45	1.53
Generate a valid JSON object that contains a list of all keys from key1 to key<MAX_NEW_TOKENS>.	2	4	0.016	0.008	cpu	/dlabdata1/llama2_hf/Llama-2-7b-hf	1.34	1.46
Generate a valid JSON object that contains a list of all keys from key1 to key<MAX_NEW_TOKENS>.	2	5	0.025	0.013	cpu	/dlabdata1/llama2_hf/Llama-2-7b-hf	1.28	1.27
Generate a valid JSON object that contains all key value pairs from (key1, value1) to (key<MAX_NEW_TOKENS>, value<MAX_NEW_TOKENS>) .	2	1	0.019	0.010	cpu	/dlabdata1/llama2_hf/Llama-2-7b-hf	1.39	1.75
Generate a valid JSON object that contains all key value pairs from (key1, value1) to (key<MAX_NEW_TOKENS>, value<MAX_NEW_TOKENS>) .	2	2	0.018	0.009	cpu	/dlabdata1/llama2_hf/Llama-2-7b-hf	1.75	1.45
Generate a valid JSON object that contains all key value pairs from (key1, value1) to (key<MAX_NEW_TOKENS>, value<MAX_NEW_TOKENS>) .	2	3	0.015	0.008	cpu	/dlabdata1/llama2_hf/Llama-2-7b-hf	1.46	1.64
Generate a valid JSON object that contains all key value pairs from (key1, value1) to (key<MAX_NEW_TOKENS>, value<MAX_NEW_TOKENS>) .	2	4	0.016	0.008	cpu	/dlabdata1/llama2_hf/Llama-2-7b-hf	1.54	1.81
Generate a valid JSON object that contains all key value pairs from (key1, value1) to (key<MAX_NEW_TOKENS>, value<MAX_NEW_TOKENS>) .	2	5	0.020	0.010	cpu	/dlabdata1/llama2_hf/Llama-2-7b-hf	1.52	1.87
